"序号","文件名","扩展名","大小MB","一级目录","模块","内容类型","建议标签","格式处理建议","相对路径","完整路径"
"1","心理学、教育心理学【简答+论述】 .pdf",".pdf","0.79","教基教综","教育心理学","主观题背诵","冲刺","保留原格式","教基教综\【04】简答 口诀\主观题\心理学、教育心理学【简答+论述】 .pdf","F:\BaiduNetdiskDownload\教学资料\教基教综\【04】简答 口诀\主观题\心理学、教育心理学【简答+论述】 .pdf"
"2","教育学【简答+论述】.pdf",".pdf","0.48","教基教综","教育学","主观题背诵","冲刺","保留原格式","教基教综\【04】简答 口诀\主观题\教育学【简答+论述】.pdf","F:\BaiduNetdiskDownload\教学资料\教基教综\【04】简答 口诀\主观题\教育学【简答+论述】.pdf"
"3","（1）背诵口诀 .doc",".doc","0.05","教基教综","教育综合","主观题背诵","冲刺","暂不批量转换，精选后再处理","教基教综\【04】简答 口诀\赠记忆口诀\（1）背诵口诀 .doc","F:\BaiduNetdiskDownload\教学资料\教基教综\【04】简答 口诀\赠记忆口诀\（1）背诵口诀 .doc"
"4","（2）题型口诀 .doc",".doc","0.03","教基教综","教育综合","主观题背诵","冲刺","暂不批量转换，精选后再处理","教基教综\【04】简答 口诀\赠记忆口诀\（2）题型口诀 .doc","F:\BaiduNetdiskDownload\教学资料\教基教综\【04】简答 口诀\赠记忆口诀\（2）题型口诀 .doc"
"5","（3）教育综合速记 .doc",".doc","0.03","教基教综","教育综合","主观题背诵","冲刺","暂不批量转换，精选后再处理","教基教综\【04】简答 口诀\赠记忆口诀\（3）教育综合速记 .doc","F:\BaiduNetdiskDownload\教学资料\教基教综\【04】简答 口诀\赠记忆口诀\（3）教育综合速记 .doc"
"6","《学记》中重要思想注释 .docx",".docx","0.01","教基教综","教育综合","主观题背诵","冲刺","保留原格式","教基教综\【04】简答 口诀\主观题\《学记》中重要思想注释 .docx","F:\BaiduNetdiskDownload\教学资料\教基教综\【04】简答 口诀\主观题\《学记》中重要思想注释 .docx"
"7","【独家记忆】5分钟记住教材中所有人名 .doc",".doc","0.15","教基教综","教育综合","主观题背诵","冲刺","暂不批量转换，精选后再处理","教基教综\【04】简答 口诀\赠记忆口诀\【独家记忆】5分钟记住教材中所有人名 .doc","F:\BaiduNetdiskDownload\教学资料\教基教综\【04】简答 口诀\赠记忆口诀\【独家记忆】5分钟记住教材中所有人名 .doc"
"8","教综-各主观题常考汇总 .pdf",".pdf","0.61","教基教综","教育综合","主观题背诵","冲刺","保留原格式","教基教综\【04】简答 口诀\主观题\教综-各主观题常考汇总 .pdf","F:\BaiduNetdiskDownload\教学资料\教基教综\【04】简答 口诀\主观题\教综-各主观题常考汇总 .pdf"
"9","教综-主观题汇总（1） .pdf",".pdf","0.43","教基教综","教育综合","主观题背诵","冲刺","保留原格式","教基教综\【04】简答 口诀\主观题\教综-主观题汇总（1） .pdf","F:\BaiduNetdiskDownload\教学资料\教基教综\【04】简答 口诀\主观题\教综-主观题汇总（1） .pdf"
"10","教综-主观题总结（2） .pdf",".pdf","0.57","教基教综","教育综合","主观题背诵","冲刺","保留原格式","教基教综\【04】简答 口诀\主观题\教综-主观题总结（2） .pdf","F:\BaiduNetdiskDownload\教学资料\教基教综\【04】简答 口诀\主观题\教综-主观题总结（2） .pdf"
"11","教师职业道德内部资料.pdf",".pdf","0.24","西安高层次人才教育类","教师职业道德","预测押题","冲刺","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\7、综合演练\教师职业道德内部资料.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\7、综合演练\教师职业道德内部资料.pdf"
"12","教育理论基础职业道德和法律法规讲义114.pdf",".pdf","9.8","西安高层次人才教育类","教师职业道德","预测押题","冲刺","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\5、教育法律与法规\教育理论基础职业道德和法律法规讲义114.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\5、教育法律与法规\教育理论基础职业道德和法律法规讲义114.pdf"
"13","全新版《教师职业道德修养》 必备知识点.pdf",".pdf","0.45","西安高层次人才教育类","教师职业道德","预测押题","冲刺","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\4、教师职业道德\全新版《教师职业道德修养》 必备知识点.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\4、教师职业道德\全新版《教师职业道德修养》 必备知识点.pdf"
